indic_id,enforce_zone_id,metric_enforce_date,maille,indic_vi,indic_va,indic_vc,indic_ta
IND-299,D01,2022-07-31,DEPT,537,,,
IND-299,D01,2022-12-31,DEPT,,740,,12.98784389
IND-299,D01,2026-12-31,DEPT,,,2100,
IND-299,D02,2022-07-31,DEPT,157,,,
IND-299,D02,2022-12-31,DEPT,,351,,15.4213036566
IND-299,D02,2026-12-31,DEPT,,,1415,
IND-299,D03,2022-07-31,DEPT,195,,,
IND-299,D03,2022-12-31,DEPT,,264,,11.7948717949
IND-299,D03,2026-12-31,DEPT,,,780,
IND-299,D04,2022-07-31,DEPT,0,,,
IND-299,D04,2022-12-31,DEPT,,5,,1.8587360595
IND-299,D04,2026-12-31,DEPT,,,269,
IND-299,D05,2022-07-31,DEPT,35,,,
IND-299,D05,2022-12-31,DEPT,,56,,8.4337349398
IND-299,D05,2026-12-31,DEPT,,,284,
IND-299,D06,2022-07-31,DEPT,618,,,
IND-299,D06,2022-12-31,DEPT,,913,,11.6370808679
IND-299,D06,2026-12-31,DEPT,,,3153,
IND-299,D07,2022-07-31,DEPT,200,,,
IND-299,D07,2022-12-31,DEPT,,203,,0.5444646098
IND-299,D07,2026-12-31,DEPT,,,751,
IND-299,D08,2022-07-31,DEPT,17,,,
IND-299,D08,2022-12-31,DEPT,,53,,6.8702290076
IND-299,D08,2026-12-31,DEPT,,,541,
IND-299,D09,2022-07-31,DEPT,89,,,
IND-299,D09,2022-12-31,DEPT,,147,,19.7278911565
IND-299,D09,2026-12-31,DEPT,,,383,
IND-299,D10,2022-07-31,DEPT,6,,,
IND-299,D10,2022-12-31,DEPT,,34,,4.347826087
IND-299,D10,2026-12-31,DEPT,,,650,
IND-299,D11,2022-07-31,DEPT,131,,,
IND-299,D11,2022-12-31,DEPT,,164,,4.8744460857
IND-299,D11,2026-12-31,DEPT,,,808,
IND-299,D12,2022-07-31,DEPT,157,,,
IND-299,D12,2022-12-31,DEPT,,247,,17.2413793103
IND-299,D12,2026-12-31,DEPT,,,679,
IND-299,D13,2022-07-31,DEPT,390,,,
IND-299,D13,2022-12-31,DEPT,,564,,3.4077555817
IND-299,D13,2026-12-31,DEPT,,,5496,
IND-299,D14,2022-07-31,DEPT,132,,,
IND-299,D14,2022-12-31,DEPT,,270,,9.5435684647
IND-299,D14,2026-12-31,DEPT,,,1578,
IND-299,D15,2022-07-31,DEPT,195,,,
IND-299,D15,2022-12-31,DEPT,,263,,25
IND-299,D15,2026-12-31,DEPT,,,467,
IND-299,D16,2022-07-31,DEPT,50,,,
IND-299,D16,2022-12-31,DEPT,,74,,3.9473684211
IND-299,D16,2026-12-31,DEPT,,,658,
IND-299,D17,2022-07-31,DEPT,377,,,
IND-299,D17,2022-12-31,DEPT,,479,,9.3577981651
IND-299,D17,2026-12-31,DEPT,,,1467,
IND-299,D18,2022-07-31,DEPT,50,,,
IND-299,D18,2022-12-31,DEPT,,82,,5.7971014493
IND-299,D18,2026-12-31,DEPT,,,602,
IND-299,D19,2022-07-31,DEPT,3,,,
IND-299,D19,2022-12-31,DEPT,,13,,2.6178010471
IND-299,D19,2026-12-31,DEPT,,,385,
IND-299,D21,2022-07-31,DEPT,107,,,
IND-299,D21,2022-12-31,DEPT,,164,,5.2341597796
IND-299,D21,2026-12-31,DEPT,,,1196,
IND-299,D22,2022-07-31,DEPT,787,,,
IND-299,D22,2022-12-31,DEPT,,945,,13.4582623509
IND-299,D22,2026-12-31,DEPT,,,1961,
IND-299,D23,2022-07-31,DEPT,5,,,
IND-299,D23,2022-12-31,DEPT,,17,,7.5
IND-299,D23,2026-12-31,DEPT,,,165,
IND-299,D24,2022-07-31,DEPT,0,,,
IND-299,D24,2022-12-31,DEPT,,21,,3.3816425121
IND-299,D24,2026-12-31,DEPT,,,621,
IND-299,D25,2022-07-31,DEPT,416,,,
IND-299,D25,2022-12-31,DEPT,,944,,31.8072289157
IND-299,D25,2026-12-31,DEPT,,,2076,
IND-299,D26,2022-07-31,DEPT,201,,,
IND-299,D26,2022-12-31,DEPT,,203,,0.1926782274
IND-299,D26,2026-12-31,DEPT,,,1239,
IND-299,D27,2022-07-31,DEPT,948,,,
IND-299,D27,2022-12-31,DEPT,,1142,,13.5664335664
IND-299,D27,2026-12-31,DEPT,,,2378,
IND-299,D28,2022-07-31,DEPT,65,,,
IND-299,D28,2022-12-31,DEPT,,141,,7.9166666667
IND-299,D28,2026-12-31,DEPT,,,1025,
IND-299,D29,2022-07-31,DEPT,605,,,
IND-299,D29,2022-12-31,DEPT,,800,,11.010728402
IND-299,D29,2026-12-31,DEPT,,,2376,
IND-299,D2A,2022-07-31,DEPT,49,,,
IND-299,D2A,2022-12-31,DEPT,,56,,2.6615969582
IND-299,D2A,2026-12-31,DEPT,,,312,
IND-299,D2B,2022-07-31,DEPT,49,,,
IND-299,D2B,2022-12-31,DEPT,,57,,2.7777777778
IND-299,D2B,2026-12-31,DEPT,,,337,
IND-299,D30,2022-12-31,DEPT,,0,,0
IND-299,D30,2026-12-31,DEPT,,,1472,
IND-299,D31,2022-07-31,DEPT,141,,,
IND-299,D31,2022-12-31,DEPT,,551,,11.471740347
IND-299,D31,2026-12-31,DEPT,,,3715,
IND-299,D32,2022-07-31,DEPT,82,,,
IND-299,D32,2022-12-31,DEPT,,126,,13.5802469136
IND-299,D32,2026-12-31,DEPT,,,406,
IND-299,D33,2022-07-31,DEPT,720,,,
IND-299,D33,2022-12-31,DEPT,,891,,4.7993264103
IND-299,D33,2026-12-31,DEPT,,,4283,
IND-299,D34,2022-07-31,DEPT,381,,,
IND-299,D34,2022-12-31,DEPT,,677,,10.6628242075
IND-299,D34,2026-12-31,DEPT,,,3157,
IND-299,D35,2022-07-31,DEPT,777,,,
IND-299,D35,2022-12-31,DEPT,,998,,8.7386318703
IND-299,D35,2026-12-31,DEPT,,,3306,
IND-299,D36,2022-07-31,DEPT,170,,,
IND-299,D36,2022-12-31,DEPT,,284,,24.8908296943
IND-299,D36,2026-12-31,DEPT,,,628,
IND-299,D37,2022-07-31,DEPT,345,,,
IND-299,D37,2022-12-31,DEPT,,473,,9.6096096096
IND-299,D37,2026-12-31,DEPT,,,1677,
IND-299,D38,2022-07-31,DEPT,1243,,,
IND-299,D38,2022-12-31,DEPT,,1520,,9.1328717441
IND-299,D38,2026-12-31,DEPT,,,4276,
IND-299,D39,2022-07-31,DEPT,71,,,
IND-299,D39,2022-12-31,DEPT,,134,,12.3287671233
IND-299,D39,2026-12-31,DEPT,,,582,
IND-299,D40,2022-07-31,DEPT,12,,,
IND-299,D40,2022-12-31,DEPT,,100,,11.4583333333
IND-299,D40,2026-12-31,DEPT,,,780,
IND-299,D41,2022-07-31,DEPT,134,,,
IND-299,D41,2022-12-31,DEPT,,172,,6.1093247588
IND-299,D41,2026-12-31,DEPT,,,756,
IND-299,D42,2022-07-31,DEPT,361,,,
IND-299,D42,2022-12-31,DEPT,,555,,10.7658157603
IND-299,D42,2026-12-31,DEPT,,,2163,
IND-299,D43,2022-07-31,DEPT,361,,,
IND-299,D43,2022-12-31,DEPT,,556,,34.1506129597
IND-299,D43,2026-12-31,DEPT,,,932,
IND-299,D44,2022-07-31,DEPT,1004,,,
IND-299,D44,2022-12-31,DEPT,,1114,,3.295386459
IND-299,D44,2026-12-31,DEPT,,,4342,
IND-299,D45,2022-07-31,DEPT,461,,,
IND-299,D45,2022-12-31,DEPT,,584,,7.4863055386
IND-299,D45,2026-12-31,DEPT,,,2104,
IND-299,D46,2022-07-31,DEPT,15,,,
IND-299,D46,2022-12-31,DEPT,,48,,11.9133574007
IND-299,D46,2026-12-31,DEPT,,,292,
IND-299,D47,2022-07-31,DEPT,6,,,
IND-299,D47,2022-12-31,DEPT,,45,,6.3414634146
IND-299,D47,2026-12-31,DEPT,,,621,
IND-299,D48,2022-12-31,DEPT,,16,,13.3333333333
IND-299,D48,2026-12-31,DEPT,,,120,
IND-299,D49,2022-07-31,DEPT,262,,,
IND-299,D49,2022-12-31,DEPT,,385,,6.8371317399
IND-299,D49,2026-12-31,DEPT,,,2061,
IND-299,D50,2022-07-31,DEPT,86,,,
IND-299,D50,2022-12-31,DEPT,,127,,4.6119235096
IND-299,D50,2026-12-31,DEPT,,,975,
IND-299,D51,2022-07-31,DEPT,138,,,
IND-299,D51,2022-12-31,DEPT,,227,,7.0803500398
IND-299,D51,2026-12-31,DEPT,,,1395,
IND-299,D52,2022-07-31,DEPT,37,,,
IND-299,D52,2022-12-31,DEPT,,59,,7.3825503356
IND-299,D52,2026-12-31,DEPT,,,335,
IND-299,D53,2022-07-31,DEPT,93,,,
IND-299,D53,2022-12-31,DEPT,,160,,10.1669195751
IND-299,D53,2026-12-31,DEPT,,,752,
IND-299,D54,2022-07-31,DEPT,249,,,
IND-299,D54,2022-12-31,DEPT,,379,,8.7248322148
IND-299,D54,2026-12-31,DEPT,,,1739,
IND-299,D55,2022-07-31,DEPT,2,,,
IND-299,D55,2022-12-31,DEPT,,27,,7.6923076923
IND-299,D55,2026-12-31,DEPT,,,327,
IND-299,D56,2022-07-31,DEPT,710,,,
IND-299,D56,2022-12-31,DEPT,,893,,12.406779661
IND-299,D56,2026-12-31,DEPT,,,2185,
IND-299,D57,2022-07-31,DEPT,174,,,
IND-299,D57,2022-12-31,DEPT,,239,,3.2483758121
IND-299,D57,2026-12-31,DEPT,,,2175,
IND-299,D58,2022-07-31,DEPT,16,,,
IND-299,D58,2022-12-31,DEPT,,27,,3.5830618893
IND-299,D58,2026-12-31,DEPT,,,323,
IND-299,D59,2022-07-31,DEPT,670,,,
IND-299,D59,2022-12-31,DEPT,,1082,,6.397515528
IND-299,D59,2026-12-31,DEPT,,,7110,
IND-299,D60,2022-07-31,DEPT,342,,,
IND-299,D60,2022-12-31,DEPT,,553,,10.1883148238
IND-299,D60,2026-12-31,DEPT,,,2413,
IND-299,D61,2022-07-31,DEPT,21,,,
IND-299,D61,2022-12-31,DEPT,,48,,5.4989816701
IND-299,D61,2026-12-31,DEPT,,,512,
IND-299,D62,2022-07-31,DEPT,571,,,
IND-299,D62,2022-12-31,DEPT,,832,,7.8780561425
IND-299,D62,2026-12-31,DEPT,,,3884,
IND-299,D63,2022-07-31,DEPT,195,,,
IND-299,D63,2022-12-31,DEPT,,263,,5.2307692308
IND-299,D63,2026-12-31,DEPT,,,1495,
IND-299,D64,2022-07-31,DEPT,297,,,
IND-299,D64,2022-12-31,DEPT,,369,,5.7142857143
IND-299,D64,2026-12-31,DEPT,,,1557,
IND-299,D65,2022-07-31,DEPT,54,,,
IND-299,D65,2022-12-31,DEPT,,88,,8.2926829268
IND-299,D65,2026-12-31,DEPT,,,464,
IND-299,D66,2022-07-31,DEPT,25,,,
IND-299,D66,2022-12-31,DEPT,,137,,11.4754098361
IND-299,D66,2026-12-31,DEPT,,,1001,
IND-299,D67,2022-07-31,DEPT,547,,,
IND-299,D67,2022-12-31,DEPT,,645,,3.9934800326
IND-299,D67,2026-12-31,DEPT,,,3001,
IND-299,D68,2022-07-31,DEPT,451,,,
IND-299,D68,2022-12-31,DEPT,,572,,7.4461538462
IND-299,D68,2026-12-31,DEPT,,,2076,
IND-299,D69,2022-07-31,DEPT,1941,,,
IND-299,D69,2022-12-31,DEPT,,2332,,7.4632563466
IND-299,D69,2026-12-31,DEPT,,,7180,
IND-299,D70,2022-07-31,DEPT,0,,,
IND-299,D70,2022-12-31,DEPT,,11,,2.7568922306
IND-299,D70,2026-12-31,DEPT,,,399,
IND-299,D71,2022-07-31,DEPT,607,,,
IND-299,D71,2022-12-31,DEPT,,751,,13.4328358209
IND-299,D71,2026-12-31,DEPT,,,1679,
IND-299,D72,2022-12-31,DEPT,,38,,3.3158813264
IND-299,D72,2026-12-31,DEPT,,,1146,
IND-299,D73,2022-07-31,DEPT,181,,,
IND-299,D73,2022-12-31,DEPT,,361,,17.4418604651
IND-299,D73,2026-12-31,DEPT,,,1213,
IND-299,D74,2022-07-31,DEPT,181,,,
IND-299,D74,2022-12-31,DEPT,,361,,8.5066162571
IND-299,D74,2026-12-31,DEPT,,,2297,
IND-299,D75,2022-07-31,DEPT,350,,,
IND-299,D75,2022-12-31,DEPT,,503,,2.8433376696
IND-299,D75,2026-12-31,DEPT,,,5731,
IND-299,D76,2022-07-31,DEPT,949,,,
IND-299,D76,2022-12-31,DEPT,,1143,,6.7314365024
IND-299,D76,2026-12-31,DEPT,,,3831,
IND-299,D77,2022-07-31,DEPT,401,,,
IND-299,D77,2022-12-31,DEPT,,449,,1.3015184382
IND-299,D77,2026-12-31,DEPT,,,4089,
IND-299,D78,2022-07-31,DEPT,694,,,
IND-299,D78,2022-12-31,DEPT,,938,,6.3016528926
IND-299,D78,2026-12-31,DEPT,,,4566,
IND-299,D79,2022-07-31,DEPT,100,,,
IND-299,D79,2022-12-31,DEPT,,128,,4.2682926829
IND-299,D79,2026-12-31,DEPT,,,756,
IND-299,D80,2022-07-31,DEPT,630,,,
IND-299,D80,2022-12-31,DEPT,,777,,11.9415109667
IND-299,D80,2026-12-31,DEPT,,,1861,
IND-299,D81,2022-07-31,DEPT,946,,,
IND-299,D81,2022-12-31,DEPT,,1237,,31.2567132116
IND-299,D81,2026-12-31,DEPT,,,1877,
IND-299,D82,2022-07-31,DEPT,307,,,
IND-299,D82,2022-12-31,DEPT,,436,,20.9076175041
IND-299,D82,2026-12-31,DEPT,,,924,
IND-299,D83,2022-07-31,DEPT,966,,,
IND-299,D83,2022-12-31,DEPT,,1365,,16.2525458248
IND-299,D83,2026-12-31,DEPT,,,3421,
IND-299,D84,2022-07-31,DEPT,65,,,
IND-299,D84,2022-12-31,DEPT,,175,,8.1240768095
IND-299,D84,2026-12-31,DEPT,,,1419,
IND-299,D85,2022-07-31,DEPT,179,,,
