indic_id,enforce_zone_id,metric_enforce_date,maille,indic_vi,indic_va,indic_vc,indic_ta
IND-229,D01,2022-09-01,DEPT,89.9,89.9,,
IND-229,D01,2023-12-01,DEPT,,90.3,,8.89
IND-229,D01,2026-12-01,DEPT,,,94.4,
IND-229,D02,2022-09-01,DEPT,86.4,86.4,,
IND-229,D02,2023-12-01,DEPT,,87.3,,14.75
IND-229,D02,2026-12-01,DEPT,,,92.5,
IND-229,D03,2022-09-01,DEPT,88.7,88.7,,
IND-229,D03,2023-12-01,DEPT,,87.4,,0.0
IND-229,D03,2026-12-01,DEPT,,,93.8,
IND-229,D04,2022-09-01,DEPT,89.4,89.4,,
IND-229,D04,2023-12-01,DEPT,,87.6,,0.0
IND-229,D04,2026-12-01,DEPT,,,94.2,
IND-229,D05,2022-09-01,DEPT,89.5,89.5,,
IND-229,D05,2023-12-01,DEPT,,90.0,,10.64
IND-229,D05,2026-12-01,DEPT,,,94.2,
IND-229,D06,2022-09-01,DEPT,88.9,88.9,,
IND-229,D06,2023-12-01,DEPT,,89.0,,2.0
IND-229,D06,2026-12-01,DEPT,,,93.9,
IND-229,D07,2022-09-01,DEPT,90.1,90.1,,
IND-229,D07,2023-12-01,DEPT,,90.0,,0.0
IND-229,D07,2026-12-01,DEPT,,,94.6,
IND-229,D08,2022-09-01,DEPT,90.5,90.5,,
IND-229,D08,2023-12-01,DEPT,,88.8,,0.0
IND-229,D08,2026-12-01,DEPT,,,94.8,
IND-229,D09,2022-09-01,DEPT,88.1,88.1,,
IND-229,D09,2023-12-01,DEPT,,88.7,,11.32
IND-229,D09,2026-12-01,DEPT,,,93.4,
IND-229,D10,2022-09-01,DEPT,88.7,88.7,,
IND-229,D10,2023-12-01,DEPT,,88.2,,0.0
IND-229,D10,2026-12-01,DEPT,,,93.8,
IND-229,D11,2022-09-01,DEPT,87.2,87.2,,
IND-229,D11,2023-12-01,DEPT,,86.5,,0.0
IND-229,D11,2026-12-01,DEPT,,,93.0,
IND-229,D12,2022-09-01,DEPT,91.5,91.5,,
IND-229,D12,2023-12-01,DEPT,,92.2,,18.42
IND-229,D12,2026-12-01,DEPT,,,95.3,
IND-229,D13,2022-09-01,DEPT,88.9,88.9,,
IND-229,D13,2023-12-01,DEPT,,88.0,,0.0
IND-229,D13,2026-12-01,DEPT,,,93.9,
IND-229,D14,2022-09-01,DEPT,90.4,90.4,,
IND-229,D14,2023-12-01,DEPT,,89.5,,0.0
IND-229,D14,2026-12-01,DEPT,,,94.7,
IND-229,D15,2022-09-01,DEPT,89.8,89.8,,
IND-229,D15,2023-12-01,DEPT,,89.8,,0.0
IND-229,D15,2026-12-01,DEPT,,,94.4,
IND-229,D16,2022-09-01,DEPT,89.6,89.6,,
IND-229,D16,2023-12-01,DEPT,,88.4,,0.0
IND-229,D16,2026-12-01,DEPT,,,94.3,
IND-229,D17,2022-09-01,DEPT,89.8,89.8,,
IND-229,D17,2023-12-01,DEPT,,90.1,,6.52
IND-229,D17,2026-12-01,DEPT,,,94.4,
IND-229,D18,2022-09-01,DEPT,90.5,90.5,,
IND-229,D18,2023-12-01,DEPT,,88.8,,0.0
IND-229,D18,2026-12-01,DEPT,,,94.8,
IND-229,D19,2022-09-01,DEPT,91.9,91.9,,
IND-229,D19,2023-12-01,DEPT,,91.1,,0.0
IND-229,D19,2026-12-01,DEPT,,,95.5,
IND-229,D21,2022-09-01,DEPT,90.7,90.7,,
IND-229,D21,2023-12-01,DEPT,,89.9,,0.0
IND-229,D21,2026-12-01,DEPT,,,94.9,
IND-229,D22,2022-09-01,DEPT,90.1,90.1,,
IND-229,D22,2023-12-01,DEPT,,88.5,,0.0
IND-229,D22,2026-12-01,DEPT,,,94.6,
IND-229,D23,2022-09-01,DEPT,90.9,90.9,,
IND-229,D23,2023-12-01,DEPT,,90.7,,0.0
IND-229,D23,2026-12-01,DEPT,,,95.0,
IND-229,D24,2022-09-01,DEPT,91.2,91.2,,
IND-229,D24,2023-12-01,DEPT,,90.4,,0.0
IND-229,D24,2026-12-01,DEPT,,,95.2,
IND-229,D25,2022-09-01,DEPT,90.0,90.0,,
IND-229,D25,2023-12-01,DEPT,,90.0,,0.0
IND-229,D25,2026-12-01,DEPT,,,94.5,
IND-229,D26,2022-09-01,DEPT,90.5,90.5,,
IND-229,D26,2023-12-01,DEPT,,89.5,,0.0
IND-229,D26,2026-12-01,DEPT,,,94.8,
IND-229,D27,2022-09-01,DEPT,90.3,90.3,,
IND-229,D27,2023-12-01,DEPT,,90.0,,0.0
IND-229,D27,2026-12-01,DEPT,,,94.7,
IND-229,D28,2022-09-01,DEPT,88.8,88.8,,
IND-229,D28,2023-12-01,DEPT,,88.0,,0.0
IND-229,D28,2026-12-01,DEPT,,,93.8,
IND-229,D29,2022-09-01,DEPT,90.6,90.6,,
IND-229,D29,2023-12-01,DEPT,,90.6,,0.0
IND-229,D29,2026-12-01,DEPT,,,94.8,
IND-229,D2A,2022-09-01,DEPT,89.1,89.1,,
IND-229,D2A,2023-12-01,DEPT,,89.1,,0.0
IND-229,D2A,2026-12-01,DEPT,,,94.0,
IND-229,D2B,2022-09-01,DEPT,87.7,87.7,,
IND-229,D2B,2023-12-01,DEPT,,90.2,,45.45
IND-229,D2B,2026-12-01,DEPT,,,93.2,
IND-229,D30,2022-09-01,DEPT,89.1,89.1,,
IND-229,D30,2023-12-01,DEPT,,88.1,,0.0
IND-229,D30,2026-12-01,DEPT,,,94.0,
IND-229,D31,2022-09-01,DEPT,89.4,89.4,,
IND-229,D31,2023-12-01,DEPT,,89.0,,0.0
IND-229,D31,2026-12-01,DEPT,,,94.2,
IND-229,D32,2022-09-01,DEPT,89.3,89.3,,
IND-229,D32,2023-12-01,DEPT,,90.0,,14.58
IND-229,D32,2026-12-01,DEPT,,,94.1,
IND-229,D33,2022-09-01,DEPT,89.4,89.4,,
IND-229,D33,2023-12-01,DEPT,,88.8,,0.0
IND-229,D33,2026-12-01,DEPT,,,94.2,
IND-229,D34,2022-09-01,DEPT,87.8,87.8,,
IND-229,D34,2023-12-01,DEPT,,86.8,,0.0
IND-229,D34,2026-12-01,DEPT,,,93.3,
IND-229,D35,2022-09-01,DEPT,91.1,91.1,,
IND-229,D35,2023-12-01,DEPT,,89.6,,0.0
IND-229,D35,2026-12-01,DEPT,,,95.1,
IND-229,D36,2022-09-01,DEPT,92.6,92.6,,
IND-229,D36,2023-12-01,DEPT,,90.0,,0.0
IND-229,D36,2026-12-01,DEPT,,,95.9,
IND-229,D37,2022-09-01,DEPT,91.3,91.3,,
