indic_id,enforce_zone_id,metric_enforce_date,maille,indic_vi,indic_va,indic_vc,indic_ta
IND-296,D01,2022-06-01,DEPT,3.01,,,
IND-296,D01,2022-12-01,DEPT,,2.72,,
IND-296,D01,2023-03-01,DEPT,,2.36,,
IND-296,D01,2023-06-01,DEPT,,3.0,,
IND-296,D01,2023-09-01,DEPT,,3.3,,
IND-296,D01,2023-12-01,DEPT,,3.6,,100.0
IND-296,D01,2026-12-01,DEPT,,,4.0,
IND-296,D02,2022-06-01,DEPT,5.6,,,
IND-296,D02,2022-12-01,DEPT,,3.15,,
IND-296,D02,2023-03-01,DEPT,,2.39,,
IND-296,D02,2023-06-01,DEPT,,2.3,,
IND-296,D02,2023-09-01,DEPT,,2.7,,
IND-296,D02,2023-12-01,DEPT,,2.7,,100.0
IND-296,D02,2026-12-01,DEPT,,,4.0,
IND-296,D03,2022-06-01,DEPT,4.48,,,
IND-296,D03,2022-12-01,DEPT,,5.63,,
IND-296,D03,2023-03-01,DEPT,,5.3,,
IND-296,D03,2023-06-01,DEPT,,5.1,,
IND-296,D03,2023-09-01,DEPT,,5.4,,
IND-296,D03,2023-12-01,DEPT,,6.0,,0.0
IND-296,D03,2026-12-01,DEPT,,,4.0,
IND-296,D04,2022-06-01,DEPT,3.37,,,
IND-296,D04,2022-12-01,DEPT,,3.78,,
IND-296,D04,2023-03-01,DEPT,,3.93,,
IND-296,D04,2023-06-01,DEPT,,3.6,,
IND-296,D04,2023-09-01,DEPT,,4.4,,
IND-296,D04,2023-12-01,DEPT,,4.1,,0.0
IND-296,D04,2026-12-01,DEPT,,,4.0,
IND-296,D05,2022-06-01,DEPT,3.81,,,
IND-296,D05,2022-12-01,DEPT,,5.01,,
IND-296,D05,2023-03-01,DEPT,,4.94,,
IND-296,D05,2023-06-01,DEPT,,4.1,,
IND-296,D05,2023-09-01,DEPT,,4.5,,
IND-296,D05,2023-12-01,DEPT,,4.5,,0.0
IND-296,D05,2026-12-01,DEPT,,,4.0,
IND-296,D06,2022-06-01,DEPT,3.8,,,
IND-296,D06,2022-12-01,DEPT,,3.29,,
IND-296,D06,2023-03-01,DEPT,,3.08,,
IND-296,D06,2023-06-01,DEPT,,3.4,,
IND-296,D06,2023-09-01,DEPT,,4.1,,
IND-296,D06,2023-12-01,DEPT,,4.7,,0.0
IND-296,D06,2026-12-01,DEPT,,,4.0,
IND-296,D07,2022-06-01,DEPT,3.55,,,
IND-296,D07,2022-12-01,DEPT,,4.8,,
IND-296,D07,2023-03-01,DEPT,,4.77,,
IND-296,D07,2023-06-01,DEPT,,4.7,,
IND-296,D07,2023-09-01,DEPT,,5.1,,
IND-296,D07,2023-12-01,DEPT,,3.8,,100.0
IND-296,D07,2026-12-01,DEPT,,,4.0,
IND-296,D08,2022-06-01,DEPT,4.33,,,
IND-296,D08,2022-12-01,DEPT,,5.45,,
IND-296,D08,2023-03-01,DEPT,,5.26,,
IND-296,D08,2023-06-01,DEPT,,5.1,,
IND-296,D08,2023-09-01,DEPT,,5.3,,
IND-296,D08,2023-12-01,DEPT,,5.2,,0.0
IND-296,D08,2026-12-01,DEPT,,,4.0,
IND-296,D09,2022-06-01,DEPT,3.17,,,
IND-296,D09,2022-12-01,DEPT,,3.59,,
IND-296,D09,2023-03-01,DEPT,,3.6,,
IND-296,D09,2023-06-01,DEPT,,3.5,,
IND-296,D09,2023-09-01,DEPT,,4.0,,
IND-296,D09,2023-12-01,DEPT,,3.6,,100.0
IND-296,D09,2026-12-01,DEPT,,,4.0,
IND-296,D10,2022-06-01,DEPT,4.52,,,
IND-296,D10,2022-12-01,DEPT,,6.01,,
IND-296,D10,2023-03-01,DEPT,,6.01,,
IND-296,D10,2023-06-01,DEPT,,5.1,,
IND-296,D10,2023-09-01,DEPT,,5.0,,
