indic_id,enforce_zone_id,metric_enforce_date,maille,indic_vi,indic_va,indic_vc,indic_ta
IND-768,D01,2022-06-01,DEPT,16.0,,,
IND-768,D01,2023-06-01,DEPT,,24.0,,12.5
IND-768,D01,2026-12-01,DEPT,,,80.0,
IND-768,D02,2022-06-01,DEPT,16.0,,,
IND-768,D02,2023-06-01,DEPT,,18.0,,3.13
IND-768,D02,2026-12-01,DEPT,,,80.0,
IND-768,D03,2022-06-01,DEPT,16.0,,,
IND-768,D03,2023-06-01,DEPT,,45.0,,45.31
IND-768,D03,2026-12-01,DEPT,,,80.0,
IND-768,D04,2022-06-01,DEPT,16.0,,,
IND-768,D04,2023-06-01,DEPT,,19.0,,4.69
IND-768,D04,2026-12-01,DEPT,,,80.0,
IND-768,D05,2022-06-01,DEPT,16.0,,,
IND-768,D05,2023-06-01,DEPT,,26.0,,15.63
IND-768,D05,2026-12-01,DEPT,,,80.0,
IND-768,D06,2022-06-01,DEPT,16.0,,,
IND-768,D06,2023-06-01,DEPT,,29.0,,20.31
IND-768,D06,2026-12-01,DEPT,,,80.0,
IND-768,D07,2022-06-01,DEPT,16.0,,,
IND-768,D07,2023-06-01,DEPT,,11.0,,0.0
IND-768,D07,2026-12-01,DEPT,,,80.0,
IND-768,D08,2022-06-01,DEPT,16.0,,,
IND-768,D08,2023-06-01,DEPT,,30.0,,21.88
IND-768,D08,2026-12-01,DEPT,,,80.0,
IND-768,D09,2022-06-01,DEPT,16.0,,,
IND-768,D09,2023-06-01,DEPT,,40.0,,37.5
IND-768,D09,2026-12-01,DEPT,,,80.0,
IND-768,D10,2022-06-01,DEPT,16.0,,,
IND-768,D10,2023-06-01,DEPT,,39.0,,35.94
IND-768,D10,2026-12-01,DEPT,,,80.0,
IND-768,D11,2022-06-01,DEPT,16.0,,,
IND-768,D11,2023-06-01,DEPT,,18.0,,3.13
IND-768,D11,2026-12-01,DEPT,,,80.0,
IND-768,D12,2022-06-01,DEPT,16.0,,,
IND-768,D12,2023-06-01,DEPT,,26.0,,15.63
IND-768,D12,2026-12-01,DEPT,,,80.0,
IND-768,D13,2022-06-01,DEPT,16.0,,,
IND-768,D13,2023-06-01,DEPT,,46.0,,46.88
IND-768,D13,2026-12-01,DEPT,,,80.0,
IND-768,D14,2022-06-01,DEPT,16.0,,,
IND-768,D14,2023-06-01,DEPT,,30.0,,21.88
IND-768,D14,2026-12-01,DEPT,,,80.0,
IND-768,D15,2022-06-01,DEPT,16.0,,,
IND-768,D15,2023-06-01,DEPT,,3.0,,0.0
IND-768,D15,2026-12-01,DEPT,,,80.0,
IND-768,D16,2022-06-01,DEPT,16.0,,,
IND-768,D16,2023-06-01,DEPT,,8.0,,0.0
IND-768,D16,2026-12-01,DEPT,,,80.0,
IND-768,D17,2022-06-01,DEPT,16.0,,,
IND-768,D17,2023-06-01,DEPT,,44.0,,43.75
IND-768,D17,2026-12-01,DEPT,,,80.0,
IND-768,D18,2022-06-01,DEPT,16.0,,,
IND-768,D18,2023-06-01,DEPT,,19.0,,4.69
IND-768,D18,2026-12-01,DEPT,,,80.0,
IND-768,D19,2022-06-01,DEPT,16.0,,,
IND-768,D19,2023-06-01,DEPT,,55.0,,60.94
IND-768,D19,2026-12-01,DEPT,,,80.0,
IND-768,D21,2022-06-01,DEPT,16.0,,,
IND-768,D21,2023-06-01,DEPT,,11.0,,0.0
IND-768,D21,2026-12-01,DEPT,,,80.0,
IND-768,D22,2022-06-01,DEPT,16.0,,,
IND-768,D22,2023-06-01,DEPT,,40.0,,37.5
IND-768,D22,2026-12-01,DEPT,,,80.0,
IND-768,D23,2022-06-01,DEPT,16.0,,,
IND-768,D23,2023-06-01,DEPT,,85.0,,100.0
IND-768,D23,2026-12-01,DEPT,,,80.0,
IND-768,D24,2022-06-01,DEPT,16.0,,,
IND-768,D24,2023-06-01,DEPT,,66.0,,78.13
IND-768,D24,2026-12-01,DEPT,,,80.0,
IND-768,D25,2022-06-01,DEPT,16.0,,,
IND-768,D25,2023-06-01,DEPT,,36.0,,31.25
IND-768,D25,2026-12-01,DEPT,,,80.0,
IND-768,D26,2022-06-01,DEPT,16.0,,,
IND-768,D26,2023-06-01,DEPT,,16.0,,0.0
IND-768,D26,2026-12-01,DEPT,,,80.0,
IND-768,D27,2022-06-01,DEPT,16.0,,,
IND-768,D27,2023-06-01,DEPT,,15.0,,0.0
IND-768,D27,2026-12-01,DEPT,,,80.0,
IND-768,D28,2022-06-01,DEPT,16.0,,,
IND-768,D28,2023-06-01,DEPT,,6.0,,0.0
IND-768,D28,2026-12-01,DEPT,,,80.0,
IND-768,D29,2022-06-01,DEPT,16.0,,,
IND-768,D29,2023-06-01,DEPT,,37.0,,32.81
IND-768,D29,2026-12-01,DEPT,,,80.0,
IND-768,D2A,2022-06-01,DEPT,16.0,,,
IND-768,D2A,2023-06-01,DEPT,,5.0,,0.0
IND-768,D2A,2026-12-01,DEPT,,,80.0,
IND-768,D2B,2022-06-01,DEPT,16.0,,,
IND-768,D2B,2023-06-01,DEPT,,1.0,,0.0
IND-768,D2B,2026-12-01,DEPT,,,80.0,
IND-768,D30,2022-06-01,DEPT,16.0,,,
IND-768,D30,2023-06-01,DEPT,,15.0,,0.0
IND-768,D30,2026-12-01,DEPT,,,80.0,
IND-768,D31,2022-06-01,DEPT,16.0,,,
IND-768,D31,2023-06-01,DEPT,,17.0,,1.56
IND-768,D31,2026-12-01,DEPT,,,80.0,
IND-768,D32,2022-06-01,DEPT,16.0,,,
IND-768,D32,2023-06-01,DEPT,,29.0,,20.31
IND-768,D32,2026-12-01,DEPT,,,80.0,
IND-768,D33,2022-06-01,DEPT,16.0,,,
IND-768,D33,2023-06-01,DEPT,,60.0,,68.75
IND-768,D33,2026-12-01,DEPT,,,80.0,
IND-768,D34,2022-06-01,DEPT,16.0,,,
IND-768,D34,2023-06-01,DEPT,,56.0,,62.5
IND-768,D34,2026-12-01,DEPT,,,80.0,
IND-768,D35,2022-06-01,DEPT,16.0,,,
IND-768,D35,2023-06-01,DEPT,,41.0,,39.06
IND-768,D35,2026-12-01,DEPT,,,80.0,
IND-768,D36,2022-06-01,DEPT,16.0,,,
IND-768,D36,2023-06-01,DEPT,,9.0,,0.0
IND-768,D36,2026-12-01,DEPT,,,80.0,
IND-768,D37,2022-06-01,DEPT,16.0,,,
IND-768,D37,2023-06-01,DEPT,,3.0,,0.0
IND-768,D37,2026-12-01,DEPT,,,80.0,
IND-768,D38,2022-06-01,DEPT,16.0,,,
IND-768,D38,2023-06-01,DEPT,,7.0,,0.0
IND-768,D38,2026-12-01,DEPT,,,80.0,
IND-768,D39,2022-06-01,DEPT,16.0,,,
IND-768,D39,2023-06-01,DEPT,,32.0,,25.0
IND-768,D39,2026-12-01,DEPT,,,80.0,
IND-768,D40,2022-06-01,DEPT,16.0,,,
IND-768,D40,2023-06-01,DEPT,,65.0,,76.56
IND-768,D40,2026-12-01,DEPT,,,80.0,
IND-768,D41,2022-06-01,DEPT,16.0,,,
IND-768,D41,2023-06-01,DEPT,,5.0,,0.0
IND-768,D41,2026-12-01,DEPT,,,80.0,
IND-768,D42,2022-06-01,DEPT,16.0,,,
IND-768,D42,2023-06-01,DEPT,,46.0,,46.88
IND-768,D42,2026-12-01,DEPT,,,80.0,
IND-768,D43,2022-06-01,DEPT,16.0,,,
IND-768,D43,2023-06-01,DEPT,,2.0,,0.0
IND-768,D43,2026-12-01,DEPT,,,80.0,
IND-768,D44,2022-06-01,DEPT,16.0,,,
IND-768,D44,2023-06-01,DEPT,,15.0,,0.0
IND-768,D44,2026-12-01,DEPT,,,80.0,
IND-768,D45,2022-06-01,DEPT,16.0,,,
IND-768,D45,2023-06-01,DEPT,,7.0,,0.0
IND-768,D45,2026-12-01,DEPT,,,80.0,
IND-768,D46,2022-06-01,DEPT,16.0,,,
IND-768,D46,2023-06-01,DEPT,,28.0,,18.75
IND-768,D46,2026-12-01,DEPT,,,80.0,
IND-768,D47,2022-06-01,DEPT,16.0,,,
IND-768,D47,2023-06-01,DEPT,,48.0,,50.0
IND-768,D47,2026-12-01,DEPT,,,80.0,
IND-768,D48,2022-06-01,DEPT,16.0,,,
IND-768,D48,2023-06-01,DEPT,,54.0,,59.38
IND-768,D48,2026-12-01,DEPT,,,80.0,
IND-768,D49,2022-06-01,DEPT,16.0,,,
IND-768,D49,2023-06-01,DEPT,,31.0,,23.44
IND-768,D49,2026-12-01,DEPT,,,80.0,
IND-768,D50,2022-06-01,DEPT,16.0,,,
IND-768,D50,2023-06-01,DEPT,,8.0,,0.0
IND-768,D50,2026-12-01,DEPT,,,80.0,
IND-768,D51,2022-06-01,DEPT,16.0,,,
IND-768,D51,2023-06-01,DEPT,,23.0,,10.94
IND-768,D51,2026-12-01,DEPT,,,80.0,
IND-768,D52,2022-06-01,DEPT,16.0,,,
IND-768,D52,2023-06-01,DEPT,,43.0,,42.19
IND-768,D52,2026-12-01,DEPT,,,80.0,
IND-768,D53,2022-06-01,DEPT,16.0,,,
IND-768,D53,2023-06-01,DEPT,,21.0,,7.81
IND-768,D53,2026-12-01,DEPT,,,80.0,
IND-768,D54,2022-06-01,DEPT,16.0,,,
IND-768,D54,2023-06-01,DEPT,,34.0,,28.13
IND-768,D54,2026-12-01,DEPT,,,80.0,
IND-768,D55,2022-06-01,DEPT,16.0,,,
IND-768,D55,2023-06-01,DEPT,,50.0,,53.13
IND-768,D55,2026-12-01,DEPT,,,80.0,
IND-768,D56,2022-06-01,DEPT,16.0,,,
IND-768,D56,2023-06-01,DEPT,,35.0,,29.69
IND-768,D56,2026-12-01,DEPT,,,80.0,
IND-768,D57,2022-06-01,DEPT,16.0,,,
IND-768,D57,2023-06-01,DEPT,,25.0,,14.06
IND-768,D57,2026-12-01,DEPT,,,80.0,
IND-768,D58,2022-06-01,DEPT,16.0,,,
IND-768,D58,2023-06-01,DEPT,,24.0,,12.5
IND-768,D58,2026-12-01,DEPT,,,80.0,
IND-768,D59,2022-06-01,DEPT,16.0,,,
IND-768,D59,2023-06-01,DEPT,,56.0,,62.5
IND-768,D59,2026-12-01,DEPT,,,80.0,
IND-768,D60,2022-06-01,DEPT,16.0,,,
IND-768,D60,2023-06-01,DEPT,,33.0,,26.56
IND-768,D60,2026-12-01,DEPT,,,80.0,
IND-768,D61,2022-06-01,DEPT,16.0,,,
IND-768,D61,2023-06-01,DEPT,,32.0,,25.0
IND-768,D61,2026-12-01,DEPT,,,80.0,
IND-768,D62,2022-06-01,DEPT,16.0,,,
IND-768,D62,2023-06-01,DEPT,,25.0,,14.06
IND-768,D62,2026-12-01,DEPT,,,80.0,
IND-768,D63,2022-06-01,DEPT,16.0,,,
IND-768,D63,2023-06-01,DEPT,,10.0,,0.0
IND-768,D63,2026-12-01,DEPT,,,80.0,
IND-768,D64,2022-06-01,DEPT,16.0,,,
IND-768,D64,2023-06-01,DEPT,,50.0,,53.13
IND-768,D64,2026-12-01,DEPT,,,80.0,
IND-768,D65,2022-06-01,DEPT,16.0,,,
IND-768,D65,2023-06-01,DEPT,,68.0,,81.25
IND-768,D65,2026-12-01,DEPT,,,80.0,
IND-768,D66,2022-06-01,DEPT,16.0,,,
IND-768,D66,2023-06-01,DEPT,,74.0,,90.63
IND-768,D66,2026-12-01,DEPT,,,80.0,
IND-768,D67,2022-06-01,DEPT,16.0,,,
IND-768,D67,2023-06-01,DEPT,,25.0,,14.06
IND-768,D67,2026-12-01,DEPT,,,80.0,
IND-768,D68,2022-06-01,DEPT,16.0,,,
IND-768,D68,2023-06-01,DEPT,,44.0,,43.75
IND-768,D68,2026-12-01,DEPT,,,80.0,
