indic_id,enforce_zone_id,metric_enforce_date,maille,indic_vi,indic_va,indic_vc,indic_ta
IND-223,D01,2022-09-01,DEPT,48.0,48.0,,
IND-223,D01,2023-12-01,DEPT,,51.9,,41.05
IND-223,D01,2026-12-01,DEPT,,,57.5,
IND-223,D02,2022-09-01,DEPT,36.3,36.3,,
IND-223,D02,2023-12-01,DEPT,,40.0,,31.62
IND-223,D02,2026-12-01,DEPT,,,48.0,
IND-223,D03,2022-09-01,DEPT,43.3,43.3,,
IND-223,D03,2023-12-01,DEPT,,45.2,,18.27
IND-223,D03,2026-12-01,DEPT,,,53.7,
IND-223,D04,2022-09-01,DEPT,45.3,45.3,,
IND-223,D04,2023-12-01,DEPT,,49.8,,45.0
IND-223,D04,2026-12-01,DEPT,,,55.3,
IND-223,D05,2022-09-01,DEPT,50.2,50.2,,
IND-223,D05,2023-12-01,DEPT,,55.8,,61.54
IND-223,D05,2026-12-01,DEPT,,,59.3,
IND-223,D06,2022-09-01,DEPT,47.2,47.2,,
IND-223,D06,2023-12-01,DEPT,,51.6,,45.36
IND-223,D06,2026-12-01,DEPT,,,56.9,
IND-223,D07,2022-09-01,DEPT,45.5,45.5,,
IND-223,D07,2023-12-01,DEPT,,50.0,,45.0
IND-223,D07,2026-12-01,DEPT,,,55.5,
IND-223,D08,2022-09-01,DEPT,40.3,40.3,,
IND-223,D08,2023-12-01,DEPT,,44.8,,41.28
IND-223,D08,2026-12-01,DEPT,,,51.2,
IND-223,D09,2022-09-01,DEPT,43.9,43.9,,
IND-223,D09,2023-12-01,DEPT,,47.5,,34.95
IND-223,D09,2026-12-01,DEPT,,,54.2,
IND-223,D10,2022-09-01,DEPT,41.8,41.8,,
IND-223,D10,2023-12-01,DEPT,,44.1,,21.5
IND-223,D10,2026-12-01,DEPT,,,52.5,
IND-223,D11,2022-09-01,DEPT,40.8,40.8,,
IND-223,D11,2023-12-01,DEPT,,46.5,,52.29
IND-223,D11,2026-12-01,DEPT,,,51.7,
IND-223,D12,2022-09-01,DEPT,47.7,47.7,,
IND-223,D12,2023-12-01,DEPT,,51.1,,35.42
IND-223,D12,2026-12-01,DEPT,,,57.3,
IND-223,D13,2022-09-01,DEPT,43.4,43.4,,
IND-223,D13,2023-12-01,DEPT,,46.9,,33.65
IND-223,D13,2026-12-01,DEPT,,,53.8,
IND-223,D14,2022-09-01,DEPT,47.4,47.4,,
IND-223,D14,2023-12-01,DEPT,,50.8,,35.42
IND-223,D14,2026-12-01,DEPT,,,57.0,
IND-223,D15,2022-09-01,DEPT,45.9,45.9,,
IND-223,D15,2023-12-01,DEPT,,50.2,,43.43
IND-223,D15,2026-12-01,DEPT,,,55.8,
IND-223,D16,2022-09-01,DEPT,43.2,43.2,,
IND-223,D16,2023-12-01,DEPT,,46.1,,27.88
IND-223,D16,2026-12-01,DEPT,,,53.6,
IND-223,D17,2022-09-01,DEPT,44.9,44.9,,
IND-223,D17,2023-12-01,DEPT,,49.1,,41.58
IND-223,D17,2026-12-01,DEPT,,,55.0,
IND-223,D18,2022-09-01,DEPT,41.4,41.4,,
IND-223,D18,2023-12-01,DEPT,,45.4,,37.38
IND-223,D18,2026-12-01,DEPT,,,52.1,
IND-223,D19,2022-09-01,DEPT,45.3,45.3,,
IND-223,D19,2023-12-01,DEPT,,50.7,,54.0
IND-223,D19,2026-12-01,DEPT,,,55.3,
IND-223,D21,2022-09-01,DEPT,50.0,50.0,,
IND-223,D21,2023-12-01,DEPT,,53.0,,32.61
IND-223,D21,2026-12-01,DEPT,,,59.2,
IND-223,D22,2022-09-01,DEPT,48.2,48.2,,
IND-223,D22,2023-12-01,DEPT,,51.5,,34.74
IND-223,D22,2026-12-01,DEPT,,,57.7,
IND-223,D23,2022-09-01,DEPT,39.3,39.3,,
IND-223,D23,2023-12-01,DEPT,,42.3,,27.03
IND-223,D23,2026-12-01,DEPT,,,50.4,
IND-223,D24,2022-09-01,DEPT,42.7,42.7,,
IND-223,D24,2023-12-01,DEPT,,46.8,,39.05
IND-223,D24,2026-12-01,DEPT,,,53.2,
IND-223,D25,2022-09-01,DEPT,47.4,47.4,,
IND-223,D25,2023-12-01,DEPT,,52.3,,51.04
IND-223,D25,2026-12-01,DEPT,,,57.0,
IND-223,D26,2022-09-01,DEPT,46.9,46.9,,
IND-223,D26,2023-12-01,DEPT,,52.0,,52.58
IND-223,D26,2026-12-01,DEPT,,,56.6,
IND-223,D27,2022-09-01,DEPT,39.9,39.9,,
IND-223,D27,2023-12-01,DEPT,,42.8,,26.36
IND-223,D27,2026-12-01,DEPT,,,50.9,
IND-223,D28,2022-09-01,DEPT,40.7,40.7,,
IND-223,D28,2023-12-01,DEPT,,45.5,,44.04
IND-223,D28,2026-12-01,DEPT,,,51.6,
IND-223,D29,2022-09-01,DEPT,50.9,50.9,,
IND-223,D29,2023-12-01,DEPT,,55.5,,51.11
IND-223,D29,2026-12-01,DEPT,,,59.9,
IND-223,D2A,2022-09-01,DEPT,44.4,44.4,,
IND-223,D2A,2023-12-01,DEPT,,48.6,,41.18
IND-223,D2A,2026-12-01,DEPT,,,54.6,
IND-223,D2B,2022-09-01,DEPT,44.0,44.0,,
IND-223,D2B,2023-12-01,DEPT,,46.1,,20.39
IND-223,D2B,2026-12-01,DEPT,,,54.3,
IND-223,D30,2022-09-01,DEPT,41.2,41.2,,
IND-223,D30,2023-12-01,DEPT,,46.3,,47.22
IND-223,D30,2026-12-01,DEPT,,,52.0,
IND-223,D31,2022-09-01,DEPT,52.8,52.8,,
IND-223,D31,2023-12-01,DEPT,,56.2,,39.08
IND-223,D31,2026-12-01,DEPT,,,61.5,
IND-223,D32,2022-09-01,DEPT,51.1,51.1,,
IND-223,D32,2023-12-01,DEPT,,54.7,,40.0
IND-223,D32,2026-12-01,DEPT,,,60.1,
IND-223,D33,2022-09-01,DEPT,49.5,49.5,,
IND-223,D33,2023-12-01,DEPT,,54.2,,50.54
IND-223,D33,2026-12-01,DEPT,,,58.8,
IND-223,D34,2022-09-01,DEPT,46.0,46.0,,
IND-223,D34,2023-12-01,DEPT,,51.3,,53.54
IND-223,D34,2026-12-01,DEPT,,,55.9,
IND-223,D35,2022-09-01,DEPT,52.5,52.5,,
IND-223,D35,2023-12-01,DEPT,,56.1,,41.38
IND-223,D35,2026-12-01,DEPT,,,61.2,
IND-223,D36,2022-09-01,DEPT,42.1,42.1,,
IND-223,D36,2023-12-01,DEPT,,45.5,,32.08
IND-223,D36,2026-12-01,DEPT,,,52.7,
IND-223,D37,2022-09-01,DEPT,48.9,48.9,,
IND-223,D37,2023-12-01,DEPT,,53.5,,48.94
