indic_id,enforce_zone_id,metric_enforce_date,maille,indic_vi,indic_va,indic_vc,indic_ta
IND-320,D01,2022-01-31,DEPT,,6,,
IND-320,D01,2022-02-28,DEPT,,12,,
IND-320,D01,2022-03-31,DEPT,125,25,,
IND-320,D01,2022-04-30,DEPT,,31,,
IND-320,D01,2022-05-31,DEPT,,47,,
IND-320,D01,2022-06-30,DEPT,133,57,,
IND-320,D01,2022-07-31,DEPT,,69,,
IND-320,D01,2022-08-31,DEPT,,83,,
IND-320,D01,2022-09-30,DEPT,,100,,
IND-320,D01,2022-10-31,DEPT,,123,,
IND-320,D01,2022-11-30,DEPT,,137,,
IND-320,D01,2022-12-31,DEPT,,149,,
IND-320,D01,2023-01-31,DEPT,,153,,
IND-320,D01,2023-02-28,DEPT,,162,,
IND-320,D01,2023-03-31,DEPT,,158,,
IND-320,D01,2023-04-30,DEPT,,161,,
IND-320,D01,2023-05-31,DEPT,,160,,
IND-320,D01,2023-06-30,DEPT,,161,,
IND-320,D01,2023-07-31,DEPT,,163,,
IND-320,D01,2023-08-31,DEPT,,167,,
IND-320,D01,2023-09-30,DEPT,,161,,
IND-320,D01,2023-10-31,DEPT,,148,,
IND-320,D02,2022-01-31,DEPT,,13,,
IND-320,D02,2022-02-28,DEPT,,25,,
IND-320,D02,2022-03-31,DEPT,193,36,,
IND-320,D02,2022-04-30,DEPT,,46,,
IND-320,D02,2022-05-31,DEPT,,58,,
IND-320,D02,2022-06-30,DEPT,179,68,,
IND-320,D02,2022-07-31,DEPT,,80,,
IND-320,D02,2022-08-31,DEPT,,102,,
IND-320,D02,2022-09-30,DEPT,,120,,
IND-320,D02,2022-10-31,DEPT,,135,,
IND-320,D02,2022-11-30,DEPT,,149,,
IND-320,D02,2022-12-31,DEPT,,171,,
IND-320,D02,2023-01-31,DEPT,,173,,
IND-320,D02,2023-02-28,DEPT,,182,,
IND-320,D02,2023-03-31,DEPT,,192,,
IND-320,D02,2023-04-30,DEPT,,196,,
IND-320,D02,2023-05-31,DEPT,,206,,
IND-320,D02,2023-06-30,DEPT,,212,,
IND-320,D02,2023-07-31,DEPT,,219,,
IND-320,D02,2023-08-31,DEPT,,216,,
IND-320,D02,2023-09-30,DEPT,,220,,
IND-320,D02,2023-10-31,DEPT,,234,,
IND-320,D03,2022-01-31,DEPT,,8,,
IND-320,D03,2022-03-31,DEPT,71,,,
