indic_id,enforce_zone_id,metric_enforce_date,maille,indic_vi,indic_va,indic_vc,indic_ta
IND-734,D01,2022-12-31,DEPT,90.0,,,
IND-734,D01,2023-06-30,DEPT,,126.0,,
IND-734,D01,2023-07-31,DEPT,,126.0,,
IND-734,D01,2023-08-31,DEPT,,125.0,,
IND-734,D01,2023-09-30,DEPT,,125.0,,
IND-734,D01,2023-10-31,DEPT,,124.0,,
IND-734,D01,2023-11-30,DEPT,,123.0,,
IND-734,D01,2023-12-31,DEPT,,124.0,,33.33
IND-734,D01,2026-12-31,DEPT,,,192.0,
IND-734,D02,2022-12-31,DEPT,255.0,,,
IND-734,D02,2023-06-30,DEPT,,365.0,,
IND-734,D02,2023-07-31,DEPT,,365.0,,
IND-734,D02,2023-08-31,DEPT,,365.0,,
IND-734,D02,2023-09-30,DEPT,,366.0,,
IND-734,D02,2023-10-31,DEPT,,388.0,,
IND-734,D02,2023-11-30,DEPT,,388.0,,
IND-734,D02,2023-12-31,DEPT,,388.0,,100.0
IND-734,D02,2026-12-31,DEPT,,,159.0,
IND-734,D03,2022-12-31,DEPT,57.0,,,
IND-734,D03,2023-06-30,DEPT,,80.0,,
IND-734,D03,2023-07-31,DEPT,,80.0,,
IND-734,D03,2023-08-31,DEPT,,80.0,,
IND-734,D03,2023-09-30,DEPT,,81.0,,
IND-734,D03,2023-10-31,DEPT,,79.0,,
IND-734,D03,2023-11-30,DEPT,,79.0,,
IND-734,D03,2023-12-31,DEPT,,79.0,,48.89
IND-734,D03,2026-12-31,DEPT,,,102.0,
IND-734,D04,2022-12-31,DEPT,39.0,,,
IND-734,D04,2023-06-30,DEPT,,54.0,,
IND-734,D04,2023-07-31,DEPT,,54.0,,
IND-734,D04,2023-08-31,DEPT,,55.0,,
IND-734,D04,2023-09-30,DEPT,,54.0,,
IND-734,D04,2023-10-31,DEPT,,57.0,,
IND-734,D04,2023-11-30,DEPT,,55.0,,
IND-734,D04,2023-12-31,DEPT,,55.0,,100.0
IND-734,D04,2026-12-31,DEPT,,,51.0,
IND-734,D05,2022-12-31,DEPT,49.0,,,
IND-734,D05,2023-06-30,DEPT,,68.0,,
IND-734,D05,2023-07-31,DEPT,,68.0,,
IND-734,D05,2023-08-31,DEPT,,68.0,,
IND-734,D05,2023-09-30,DEPT,,68.0,,
IND-734,D05,2023-10-31,DEPT,,61.0,,
IND-734,D05,2023-11-30,DEPT,,63.0,,
IND-734,D05,2023-12-31,DEPT,,63.0,,100.0
IND-734,D05,2026-12-31,DEPT,,,43.0,
IND-734,D06,2022-12-31,DEPT,138.0,,,
IND-734,D06,2023-06-30,DEPT,,193.0,,
IND-734,D06,2023-07-31,DEPT,,193.0,,
IND-734,D06,2023-08-31,DEPT,,192.0,,
IND-734,D06,2023-09-30,DEPT,,192.0,,
IND-734,D06,2023-10-31,DEPT,,217.0,,
IND-734,D06,2023-11-30,DEPT,,217.0,,
IND-734,D06,2023-12-31,DEPT,,217.0,,41.15
IND-734,D06,2026-12-31,DEPT,,,330.0,
IND-734,D07,2022-12-31,DEPT,55.0,,,
IND-734,D07,2023-06-30,DEPT,,77.0,,
IND-734,D07,2023-07-31,DEPT,,77.0,,
IND-734,D07,2023-08-31,DEPT,,77.0,,
IND-734,D07,2023-09-30,DEPT,,77.0,,
IND-734,D07,2023-10-31,DEPT,,75.0,,
IND-734,D07,2023-11-30,DEPT,,75.0,,
IND-734,D07,2023-12-31,DEPT,,75.0,,45.45
IND-734,D07,2026-12-31,DEPT,,,99.0,
IND-734,D08,2022-12-31,DEPT,121.0,,,
IND-734,D08,2023-06-30,DEPT,,169.0,,
IND-734,D08,2023-07-31,DEPT,,168.0,,
IND-734,D08,2023-08-31,DEPT,,168.0,,
IND-734,D08,2023-09-30,DEPT,,167.0,,
IND-734,D08,2023-10-31,DEPT,,167.0,,
IND-734,D08,2023-11-30,DEPT,,167.0,,
IND-734,D08,2023-12-31,DEPT,,167.0,,100.0
IND-734,D08,2026-12-31,DEPT,,,80.0,
IND-734,D09,2022-12-31,DEPT,19.0,,,
IND-734,D09,2023-06-30,DEPT,,26.0,,
IND-734,D09,2023-07-31,DEPT,,26.0,,
IND-734,D09,2023-08-31,DEPT,,26.0,,
IND-734,D09,2023-09-30,DEPT,,25.0,,
IND-734,D09,2023-10-31,DEPT,,26.0,,
IND-734,D09,2023-11-30,DEPT,,26.0,,
IND-734,D09,2023-12-31,DEPT,,26.0,,25.0
IND-734,D09,2026-12-31,DEPT,,,47.0,
IND-734,D10,2022-12-31,DEPT,56.0,,,
IND-734,D10,2023-06-30,DEPT,,79.0,,
IND-734,D10,2023-07-31,DEPT,,80.0,,
IND-734,D10,2023-08-31,DEPT,,80.0,,
IND-734,D10,2023-09-30,DEPT,,79.0,,
IND-734,D10,2023-10-31,DEPT,,72.0,,
IND-734,D10,2023-11-30,DEPT,,72.0,,
IND-734,D10,2023-12-31,DEPT,,72.0,,44.44
IND-734,D10,2026-12-31,DEPT,,,92.0,
IND-734,D11,2022-12-31,DEPT,94.0,,,
IND-734,D11,2023-06-30,DEPT,,131.0,,
IND-734,D11,2023-07-31,DEPT,,131.0,,
IND-734,D11,2023-08-31,DEPT,,131.0,,
IND-734,D11,2023-09-30,DEPT,,131.0,,
IND-734,D11,2023-10-31,DEPT,,133.0,,
IND-734,D11,2023-11-30,DEPT,,133.0,,
